Cust_ID,Cust_Type,Tax_ID,FirstName,LastName,MiddleName,BirthDate,Primary_Citizenship,CountryRes,EmployerName,EmployStatus,MaritalStatus,Occupation,OrgName,EmployeeIND,CustomerStatus,Address1,Address2,Address3,City,State,Zipcode,Country
1,Individual,86-9275735,Falkner,Cryer,Lianna,1939-09-13,US,US,Adams-Lakin,Employed,Married,Electrical Engineer,,Customer,Closed,17 Packers Pass,,,Dayton,OH,45403,US
2,Individual,76-5159662,Tiebold,Hellmore,Rice,1952-11-11,US,US,Kunze-Legros,Employed,Single,Structural Analysis Engineer,,Customer,Closed,55 Eastwood Alley,,,Seattle,WA,98109,US
3,Individual,83-7230100,Dastardly,Dude,Devin,1999-08-17,RU,RU,Grant-Robel,Employed,Widow,Nuclear Power Engineer,,Customer,Active,61439 Nevada Circle,,,Des Moines,IA,50335,US
4,Individual,58-3904854,Obie,Keiling,Etta,1990-03-14,US,US,,Unemployed,Single,Legal Assistant,,Customer,Active,372 Atwood Center,,,Yonkers,NY,10705,US
5,Individual,40-6899785,Chrystel,Devon,Myranda,1952-03-23,US,US,Swift-Reilly,Employed,Single,Structural Engineer,,Customer,Closed,07 Forster Hill,,,Orlando,FL,32803,US
6,Individual,73-5749292,Alyson,Vlahos,Almira,1988-01-21,US,US,,Unemployed,Married,Associate Professor,,Customer,Active,71649 Colorado Junction,,,Saint Louis,MO,63126,US
7,Individual,68-2913459,Wally,Franchi,Roxanna,1993-09-17,US,US,,Unemployed,Widow,GIS Technical Architect,,Customer,Closed,1524 Laurel Hill,,,Spokane,WA,99252,US
8,Individual,64-2224349,Jordon,Cockroft,Salome,1971-02-04,US,US,Monahan-Abbott,Employed,Widow,Tax Accountant,,Customer,Closed,3 Nelson Alley,,,Richmond,VA,23289,US
9,Individual,83-8984212,Belicia,Wyrall,Seamus,1977-01-11,US,US,Runolfsdottir Inc,Employed,Single,Research Nurse,,Customer,Active,3051 Moose Crossing,,,Houston,TX,77065,US
10,Individual,19-8625679,Ellary,Linwood,Jenny,1956-05-14,US,US,"Lebsack, Weimann and Rowe",Employed,Widow,Librarian,,Customer,Active,8664 Dawn Avenue,,,Abilene,TX,79605,US
